,tr,ts,ti,n,alpha,Ks,RMSETWT,RMSEVOL,RMSE,Converged
7083,0.03,0.36,0.09,3.0,0.03,0.31000000000000005,0.09322878815380253,0.3451887567452526,0.35755682726520516,0
7084,0.03,0.4600000000000001,0.09,5.25,0.02,0.41000000000000003,2.0802892638196973,2.12688502590839,2.9751039199659615,0
7085,0.03,0.42000000000000004,0.09,6.25,0.060000000000000005,0.26,0.4235365535747578,0.1392379989741786,0.4458367779494162,0
7087,0.03,0.4600000000000001,0.09,2.5,0.02,0.11,0.7969247827898281,0.33603760942787353,0.864875935828148,0
7089,0.03,0.36,0.09,3.25,0.02,0.11,0.5960524395466834,0.28384919483474563,0.6601885155755787,0
7090,0.03,0.36000000000000004,0.1,4.5,0.02,0.16000000000000003,0.11246848633844161,0.16831231743398917,0.20243072054226396,0
7091,0.03,0.36,0.09,3.0,0.08,0.46,0.19190217934729506,0.032076409296137594,0.1945644943754506,0
7092,0.03,0.42000000000000004,0.09,9.25,0.060000000000000005,0.46,0.2734576661331819,0.5726304765728067,0.6345744699142934,0
7093,0.03,0.44000000000000006,0.09,8.75,0.060000000000000005,0.11,1.0385986162020249,0.63100324165834,1.2152580699423865,0
7094,0.03,0.44000000000000006,0.09,6.25,0.06999999999999999,0.26,0.11231831924237239,0.22782716243167045,0.2540090958589834,0
7095,0.03,0.36,0.09,8.0,0.04,0.41000000000000003,0.9653259761080939,0.8464796582119777,1.2838933179652081,0
7096,0.03,0.42000000000000004,0.09,8.25,0.01,0.11,0.2704625241030399,0.8000626011444352,0.8445413800958406,0
7097,0.03,0.36,0.09,5.25,0.03,0.1,0.754866601628064,0.46751862533308064,0.8879173673753857,0
7098,0.03,0.4600000000000001,0.09,2.25,0.06999999999999999,0.31000000000000005,0.7286909436480904,0.34066046844084125,0.8043879947594182,0
7100,0.03,0.44000000000000006,0.09,8.25,0.09999999999999999,0.41000000000000003,0.2411452993049975,0.018076215265739097,0.24182184544666385,0
7102,0.03,0.42000000000000004,0.09,5.75,0.04,0.36000000000000004,0.18098937156178613,0.5816426702738832,0.609151334646542,0
7104,0.03,0.42000000000000004,0.09,7.5,0.02,0.41000000000000003,1.9223759217147935,2.316709533821623,3.0104272534789485,0
7107,0.03,0.4,0.09,5.0,0.060000000000000005,0.46,0.15930153839164868,0.41423560267678566,0.4438108996621712,0
7109,0.03,0.4600000000000001,0.09,2.75,0.09999999999999999,0.11,1.2112464309278577,0.8314347776033509,1.4691499943313504,0
7110,0.03,0.36,0.09,9.5,0.09999999999999999,0.11,1.1970860164069979,0.7950968430795082,1.4370782583256123,0
7111,0.03,0.38,0.09,7.0,0.04,0.26,0.2904745509508436,0.17040503640835655,0.3367689730118076,0
7112,0.03,0.4,0.09,10.0,0.09999999999999999,0.41000000000000003,0.26766500614589595,0.023862573729587517,0.26872658584532066,0
7113,0.03,0.4600000000000001,0.09,6.5,0.01,0.11,0.8409102004131438,0.7697047806681033,1.1399892168534782,0
7114,0.03,0.38,0.09,4.5,0.08,0.26,0.6017661172858243,0.37300506473326445,0.7079938122822284,0
7115,0.03,0.4600000000000001,0.09,4.75,0.06999999999999999,0.11,1.240604702566565,0.7088627938701069,1.4288409598564875,0
7116,0.03,0.44000000000000006,0.09,5.75,0.09,0.31000000000000005,0.10551561061578299,0.2398438315863055,0.26202787568047337,0
7117,0.03,0.36,0.09,2.25,0.01,0.16000000000000003,0.1137253582724673,0.4894939732860183,0.5025313990165532,0
7118,0.03,0.42000000000000004,0.09,7.25,0.09,0.36000000000000004,0.3418852224216353,0.09536048592053215,0.35493538508479405,0
7120,0.03,0.4,0.09,1.5,0.09,0.41000000000000003,,,,1
7122,0.03,0.36,0.09,4.75,0.09,0.46,0.08911914004269554,0.03410148750421297,0.09542081833619734,0
7123,0.03,0.44000000000000006,0.09,6.75,0.04,0.26,0.37780315666705183,0.21384099856357455,0.43412348226542136,0
7124,0.03,0.44000000000000006,0.09,4.5,0.06999999999999999,0.11,1.1935476721422587,0.7184879542483645,1.3931191571707728,0
7125,0.03,0.4,0.09,9.25,0.060000000000000005,0.31000000000000005,0.272413312500182,0.06642245974317208,0.28039428664945215,0
7126,0.03,0.4,0.09,4.0,0.09,0.41000000000000003,0.30987142323892225,0.09548618259552896,0.3242497648523156,0
7127,0.03,0.42000000000000004,0.09,2.0,0.03,0.31000000000000005,0.3642630926644624,0.0531255310561692,0.36811672432460696,0
7128,0.03,0.42000000000000004,0.09,3.0,0.01,0.36000000000000004,1.350566850440929,2.999144743161512,3.289209632714714,0
7129,0.03,0.38,0.09,5.75,0.06999999999999999,0.26,0.27189767358930483,0.27017941031531884,0.3833083075823032,0
7130,0.03,0.42000000000000004,0.09,3.5,0.09,0.46,0.2834354313044801,0.011922867034959947,0.2836860914410328,0
7133,0.03,0.36,0.09,10.0,0.06999999999999999,0.31000000000000005,0.11695637288931289,0.06471927655910063,0.1336689115604573,0
7134,0.03,0.42000000000000004,0.09,6.75,0.08,0.21000000000000002,0.7571729496139328,0.43802181091052245,0.8747422377251465,0
7136,0.03,0.36,0.09,4.0,0.03,0.1,0.8369173884653557,0.5108106632109398,0.980488780540436,0
7137,0.03,0.44000000000000006,0.09,8.25,0.03,0.16000000000000003,0.12802691304475675,0.00716954554580233,0.12822750425358453,0
7138,0.03,0.4,0.09,7.75,0.060000000000000005,0.36000000000000004,0.42904351776194644,0.2098490154055212,0.47761380779894996,0
7139,0.03,0.38,0.09,3.75,0.060000000000000005,0.16000000000000003,0.8866454890725136,0.5601393475660024,1.0487594156832651,0
7140,0.03,0.36,0.09,5.0,0.01,0.26,1.2441470059241646,2.5371241437107486,2.8257566584810627,0
7141,0.03,0.42000000000000004,0.09,2.25,0.03,0.16000000000000003,0.789387846101651,0.38910180579766024,0.8800757847185684,0
7145,0.03,0.44000000000000006,0.09,6.0,0.03,0.16000000000000003,0.42634615357222067,0.05439147666071722,0.4298016698422203,0
7146,0.03,0.44000000000000006,0.09,7.75,0.09999999999999999,0.36000000000000004,0.05460802348085999,0.1418693232050774,0.15201625273355762,0
7147,0.03,0.42000000000000004,0.09,8.75,0.02,0.46,2.2263912991806243,2.790573635252556,3.5698906749134287,0
7148,0.03,0.42000000000000004,0.09,10.0,0.09,0.46,0.4809912602788536,0.19578502751742785,0.5193114378334449,0
7150,0.03,0.34,0.1,3.0,0.03399999999999999,0.38,0.210569665658918,0.4464740600900944,0.4936381979031219,0
7152,0.03,0.38,0.09,3.75,0.04,0.11,0.9520467452487589,0.5869789298461517,1.1184530697450334,0
7153,0.03,0.34,0.1,4.0,0.03999999999999998,0.2,0.35153224155727547,0.239817052649862,0.4255433416186292,0
7154,0.03,0.36000000000000004,0.1,4.5,0.03999999999999998,0.12000000000000001,0.7832331387389582,0.5296088811645189,0.9454838531816466,0
7156,0.03,0.38,0.09,7.75,0.06999999999999999,0.16000000000000003,0.6493329930116694,0.5422347671519536,0.845962102296448,0
7157,0.03,0.36,0.09,4.0,0.09999999999999999,0.11,1.2931780920705371,0.8282724022828079,1.5356903171520384,0
7158,0.03,0.34,0.1,4.0,0.02,0.14,0.2694572933772215,0.032351439303375855,0.2713924254270521,0
7159,0.03,0.4600000000000001,0.09,9.25,0.060000000000000005,0.11,1.075171403270482,0.624598370448296,1.2434293991929275,0
7160,0.03,0.44000000000000006,0.09,5.75,0.060000000000000005,0.16000000000000003,0.8740531743108988,0.4766650254546339,0.9955794785021561,0
7161,0.03,0.36,0.09,3.5,0.03,0.16000000000000003,0.522606117187342,0.2436398600393624,0.5766086498845034,0
7163,0.03,0.4,0.09,7.5,0.03,0.26,0.20643837087619918,0.5222395967688903,0.5615612142975619,0
7164,0.03,0.4,0.09,5.75,0.06999999999999999,0.36000000000000004,0.2021725720838087,0.02661482763423419,0.20391688981784423,0
7166,0.03,0.38,0.09,2.75,0.02,0.36000000000000004,0.4510941580609752,1.074024807166172,1.1649099646947283,0
7167,0.03,0.36000000000000004,0.1,5.0,0.037999999999999985,0.12000000000000001,0.7319558185185352,0.4920464491962793,0.8819688364277989,0
7168,0.03,0.38,0.09,3.5,0.06999999999999999,0.36000000000000004,0.3440617835152908,0.10832334205208663,0.3607110440630508,0
7169,0.03,0.42000000000000004,0.09,2.5,0.01,0.21000000000000002,0.3883474265747284,1.1684678742909453,1.2313126723043235,0
7170,0.03,0.4,0.09,3.75,0.08,0.46,0.1697323893429424,0.07585581240089642,0.18591177549328117,0
7171,0.03,0.42000000000000004,0.09,2.25,0.05,0.11,1.2477421108354014,0.7405536296019801,1.4509583224437048,0
7172,0.03,0.36,0.09,7.0,0.02,0.26,0.5798531837529411,1.080707152531773,1.2264410561628125,0
7173,0.03,0.4600000000000001,0.09,9.0,0.03,0.36000000000000004,1.296644072245351,1.1608951822695561,1.7403917588593876,0
7174,0.03,0.42000000000000004,0.09,5.5,0.03,0.26,0.10193957898443728,0.45134849524323595,0.4627171294882627,0
7175,0.03,0.38,0.09,7.0,0.05,0.36000000000000004,0.5080303887327455,0.3504278033347239,0.6171665263330023,0
7176,0.03,0.4,0.09,3.25,0.06999999999999999,0.21000000000000002,0.8029392562188628,0.49478639009677705,0.9431463412441892,0
7177,0.03,0.34,0.1,3.5,0.03199999999999999,0.4,0.5469851543398745,0.7118814966516547,0.897757219042663,0
7180,0.03,0.38,0.09,4.5,0.01,0.21000000000000002,0.8544073427983457,1.836697845618598,2.025702565414708,0
7182,0.03,0.36,0.09,1.5,0.09,0.21000000000000002,,,,1
7183,0.03,0.38,0.09,6.0,0.08,0.36000000000000004,0.07424223396066226,0.07374392150091656,0.10464260729646914,0
7184,0.03,0.4,0.09,5.5,0.02,0.16000000000000003,0.15361802098535482,0.2749052718361969,0.3149149168502347,0
7185,0.03,0.4,0.09,4.25,0.01,0.21000000000000002,1.5645196269037083,1.8078627411762578,2.3908344471962613,0
7186,0.03,0.4,0.09,9.75,0.01,0.31000000000000005,1.7216846217898,3.8246863555416764,4.194332325314026,0
7188,0.03,0.4600000000000001,0.09,5.25,0.06999999999999999,0.21000000000000002,0.3537557955241964,0.3887678955688086,0.5256269014157828,0
7189,0.03,0.4,0.09,2.5,0.06999999999999999,0.41000000000000003,0.36930241129296404,0.11155061015072947,0.3857820752857727,0
7191,0.03,0.44000000000000006,0.09,6.75,0.09999999999999999,0.31000000000000005,0.14061971526867661,0.27777804096376435,0.31134312962374877,0
7192,0.03,0.36000000000000004,0.1,3.5,0.03999999999999998,0.2,0.4624673933401089,0.26510650699294436,0.5330643018931159,0
7193,0.03,0.36,0.09,7.5,0.060000000000000005,0.1,1.0755233902950134,0.7048871507789978,1.2859301918864077,0
7194,0.03,0.4,0.09,10.0,0.03,0.11,0.29749667795356183,0.309311677573501,0.4291596291320267,0
7195,0.03,0.36,0.09,5.75,0.060000000000000005,0.16000000000000003,0.7619705592511391,0.5152079672892621,0.9198034478755921,0
7196,0.03,0.36,0.09,3.25,0.060000000000000005,0.46,0.06415394653465112,0.21248937563636752,0.22196275276339536,0
7197,0.03,0.38,0.09,7.5,0.01,0.11,0.3032145952890518,0.7424046532832796,0.8019375038074789,0
7198,0.03,0.42000000000000004,0.09,10.0,0.09,0.16000000000000003,0.7137816087570362,0.6046833200665177,0.9354817489221526,0
7199,0.03,0.36,0.09,2.0,0.08,0.11,1.3596822749738395,0.8668237725118451,1.6124885554538682,0
7200,0.03,0.44000000000000006,0.09,9.25,0.03,0.31000000000000005,1.0371268442393737,0.8857170828957366,1.3638646714301441,0
7201,0.03,0.42000000000000004,0.09,2.5,0.09999999999999999,0.26,0.9069527069797835,0.55170703237014,1.0615761217475757,0
7203,0.03,0.38,0.09,7.0,0.04,0.31000000000000005,0.5144946364111093,0.3934773458218401,0.6477107012940264,0
7204,0.03,0.4,0.09,3.25,0.04,0.16000000000000003,0.7359118462189412,0.407137881353889,0.8410276451096622,0
7205,0.03,0.42000000000000004,0.09,2.0,0.09,0.21000000000000002,1.0978932154083578,0.6725269334879213,1.287502228621904,0
7206,0.03,0.44000000000000006,0.09,9.25,0.09999999999999999,0.46,0.42130929329439426,0.11155122989759741,0.43582702705074244,0
7207,0.03,0.36000000000000004,0.1,4.0,0.037999999999999985,0.1,0.9224615431882849,0.6152500443451157,1.1088137425771647,0
7208,0.03,0.4600000000000001,0.09,9.25,0.060000000000000005,0.21000000000000002,0.10879935443722948,0.24599892592922715,0.26898470418276815,0
7209,0.03,0.38,0.09,5.0,0.060000000000000005,0.31000000000000005,0.2738687822628165,0.050612223079015334,0.2785062064355443,0
7210,0.03,0.44000000000000006,0.09,7.5,0.03,0.16000000000000003,0.11275164535857032,0.017858970201740845,0.1141572439564458,0
7211,0.03,0.38000000000000006,0.1,5.0,0.022,0.4,0.9320152935618108,1.6789003379494167,1.9202496848586577,0
7212,0.03,0.36,0.09,9.5,0.09999999999999999,0.1,1.2472352871377617,0.8216688142635898,1.4935646962267648,0
7213,0.03,0.4,0.09,7.75,0.08,0.26,0.5046589152196269,0.30183922573394384,0.588037021710638,0
7214,0.03,0.42000000000000004,0.09,1.75,0.08,0.46,0.560650663128366,0.2659683192130222,0.6205387279544095,0
7215,0.03,0.38,0.09,6.25,0.06999999999999999,0.26,0.24542157474514903,0.2569435388854915,0.35531919667446743,0
7216,0.03,0.4,0.09,2.0,0.09,0.46,0.47708650998024615,0.24779421135961474,0.5375997667302925,0
7217,0.03,0.38000000000000006,0.1,3.5,0.03199999999999999,0.3400000000000001,0.20730448135491,0.5021950038829537,0.5433000735457598,0
7218,0.03,0.44000000000000006,0.09,4.0,0.03,0.16000000000000003,0.5339709187037235,0.1530010902466603,0.5554586173946401,0
7219,0.03,0.4,0.09,3.0,0.02,0.21000000000000002,0.14990893608472652,0.33121512075487525,0.3635603737135295,0
7221,0.03,0.36,0.09,2.0,0.01,0.11,0.43421105509406466,0.07915473269699898,0.44136686789363133,0
7222,0.03,0.38,0.09,3.75,0.06999999999999999,0.26,0.5914023230026725,0.3445310326492135,0.684440165471965,0
7223,0.03,0.4600000000000001,0.09,5.5,0.04,0.11,0.9327335528479904,0.4987185735880176,1.057691872073385,0
7224,0.03,0.42000000000000004,0.09,8.0,0.06999999999999999,0.31000000000000005,0.3094291296032771,0.054361667330941985,0.31416807145545783,0
7225,0.03,0.36000000000000004,0.1,4.5,0.03399999999999999,0.24000000000000002,0.10998540437474315,0.10140493680454281,0.14959863095566447,0
7226,0.03,0.4600000000000001,0.09,5.5,0.08,0.16000000000000003,1.0274168534025596,0.5837707242359796,1.181682550066056,0
7227,0.03,0.44000000000000006,0.09,5.25,0.09999999999999999,0.11,1.1083336372988515,0.7892218261205147,1.3606155013056047,0
7228,0.03,0.4600000000000001,0.09,7.25,0.09999999999999999,0.16000000000000003,1.0831932399748503,0.6368853064851369,1.2565550082443189,0
7229,0.03,0.38,0.09,8.5,0.03,0.16000000000000003,0.06248045287601778,0.043117996146234384,0.07591421858426102,0
7230,0.03,0.36000000000000004,0.1,5.0,0.03599999999999999,0.22000000000000003,0.18390411724116137,0.008690291517933584,0.18410933030381021,0
7231,0.03,0.4,0.09,4.0,0.04,0.11,0.934011004495034,0.5677418209890832,1.093026683945924,0
7232,0.03,0.4600000000000001,0.09,4.5,0.04,0.21000000000000002,0.04195597794964108,0.08602974732614305,0.0957153149224866,0
7233,0.03,0.4,0.09,2.75,0.04,0.16000000000000003,0.7966531859405993,0.4558902676723133,0.9178737575656254,0
7234,0.03,0.44000000000000006,0.09,4.75,0.06999999999999999,0.16000000000000003,0.94791855515798,0.5609817779423263,1.101476346725669,0
7235,0.03,0.4,0.09,2.5,0.03,0.26,0.3140929152305605,0.0499894913123415,0.31804607942827834,0
7236,0.03,0.36000000000000004,0.1,4.0,0.03599999999999999,0.1,0.8969006936766136,0.5941635371539838,1.0758536904249223,0
7237,0.03,0.44000000000000006,0.09,6.5,0.08,0.21000000000000002,0.7658687028635126,0.4352594375197396,0.8809118275831239,0
7238,0.03,0.42000000000000004,0.09,5.25,0.02,0.11,0.4846587545816909,0.10670445335911101,0.4962660060485127,0
7239,0.03,0.38,0.09,6.75,0.060000000000000005,0.41000000000000003,0.4950278897280216,0.32571660720376727,0.5925739783494645,0
7240,0.03,0.4600000000000001,0.09,7.75,0.04,0.26,0.4590641453182793,0.2487426903951149,0.5221233719551369,0
7241,0.03,0.36,0.09,4.5,0.09,0.26,0.6324619746214397,0.43423238780250695,0.7671804976397129,0
7242,0.03,0.38000000000000006,0.1,5.0,0.027999999999999994,0.16000000000000003,0.07513317265182115,0.08985100769236459,0.11712470796574789,0
7244,0.03,0.44000000000000006,0.09,5.5,0.02,0.16000000000000003,0.1781316174479913,0.309376488912242,0.35699395656832084,0
7245,0.03,0.4,0.09,7.5,0.04,0.36000000000000004,0.822213555019112,0.6465361226051745,1.045965624621813,0
7247,0.03,0.4,0.09,6.25,0.060000000000000005,0.11,1.027514344229298,0.6639948850581106,1.2233866661772548,0
7249,0.03,0.44000000000000006,0.09,8.5,0.09,0.36000000000000004,0.16447623332461075,0.07188641405022236,0.17949954833829473,0
7250,0.03,0.4,0.09,2.5,0.08,0.36000000000000004,0.5375105240478801,0.2842221548953097,0.6080294374416095,0
7251,0.03,0.42000000000000004,0.09,6.5,0.01,0.11,0.2042599186624258,0.7394086904074092,0.7671032041531183,0
7252,0.03,0.42000000000000004,0.09,5.75,0.02,0.11,0.4648707039941264,0.08625977978370536,0.4728060078301967,0
7253,0.03,0.36,0.09,2.5,0.060000000000000005,0.11,1.237345984422767,0.7817886904347408,1.4636320034963752,0
7255,0.03,0.4,0.09,5.75,0.09999999999999999,0.36000000000000004,0.3874771703045112,0.19913629993047494,0.4356533294457776,0
7256,0.03,0.44000000000000006,0.09,3.0,0.02,0.41000000000000003,0.617512975197313,1.5360410088709655,1.6555193310470193,0
7257,0.03,0.4600000000000001,0.09,4.5,0.03,0.36000000000000004,0.273634009766576,0.9121056335754099,0.952266904864878,0
7258,0.03,0.4,0.09,10.0,0.08,0.36000000000000004,0.23450705496350366,0.009433063747620199,0.23469670112577723,0
7259,0.03,0.4600000000000001,0.09,5.75,0.06999999999999999,0.11,1.1938787063447145,0.6946083254731884,1.3812411416114116,0
7260,0.03,0.4600000000000001,0.09,3.75,0.03,0.16000000000000003,0.11657907438610714,0.16273935405529094,0.20018685756826007,0
7262,0.03,0.36,0.09,5.0,0.05,0.16000000000000003,0.7002231254627471,0.4501637244751441,0.832442072618961,0
7263,0.03,0.34,0.1,3.5,0.029999999999999992,0.3400000000000001,0.5184862877062443,0.5433512665701014,0.7510383674771454,0
7264,0.03,0.4600000000000001,0.09,2.75,0.03,0.26,0.3881230125408608,0.1578509629101662,0.41899450993474824,0
7266,0.03,0.34,0.1,4.5,0.037999999999999985,0.38,0.6125540851909829,0.5512672164356108,0.8240861916091232,0
7267,0.03,0.38,0.09,3.5,0.02,0.31000000000000005,0.4508728345585394,1.037904664873738,1.1316061180064017,0
7268,0.03,0.38,0.09,10.0,0.09999999999999999,0.36000000000000004,0.03855007578968202,0.15025291852406739,0.1551194632159042,0
7269,0.03,0.36,0.09,7.0,0.09,0.16000000000000003,0.9300937616389734,0.6434978731964337,1.131001290117774,0
7270,0.03,0.36000000000000004,0.1,4.5,0.022,0.1,0.5617990188394802,0.32882712550315363,0.6509573073832642,0
7271,0.03,0.4600000000000001,0.09,4.0,0.02,0.36000000000000004,0.6013485999703938,1.566849812181542,1.6782843837144188,0
7273,0.03,0.42000000000000004,0.09,9.25,0.06999999999999999,0.41000000000000003,0.0926048016564414,0.2582086882413783,0.2743125516143258,0
7274,0.03,0.42000000000000004,0.09,3.25,0.01,0.26,0.864642104586813,2.092631280055487,2.2642242917367925,0
7275,0.03,0.36000000000000004,0.1,5.0,0.025999999999999995,0.14,0.36630514580863804,0.16264252152599382,0.40078928335750313,0
7276,0.03,0.34,0.1,5.0,0.03599999999999999,0.38,0.7314485539982872,0.6663162099308905,0.9894413973363212,0
7277,0.03,0.44000000000000006,0.09,3.75,0.06999999999999999,0.16000000000000003,1.0008885385115756,0.5891338934826277,1.1614028633397793,0
7278,0.03,0.42000000000000004,0.09,3.0,0.060000000000000005,0.31000000000000005,0.4992943189628838,0.17152916100476923,0.5279366155360036,0
7279,0.03,0.4,0.09,6.5,0.04,0.26,0.14500950394851939,0.17614979075586,0.2281589468303378,0
7280,0.03,0.44000000000000006,0.09,5.0,0.05,0.41000000000000003,0.108439153509674,0.4817139529585996,0.4937685515389721,0
7282,0.03,0.4600000000000001,0.09,4.75,0.08,0.31000000000000005,0.0701701433621909,0.1952623113702865,0.2074878773835646,0
7284,0.03,0.36,0.09,9.0,0.05,0.11,0.8844445554569159,0.5938323947461945,1.0653070377723888,0
7286,0.03,0.4600000000000001,0.09,7.75,0.08,0.16000000000000003,0.6200012731544219,0.5611178262257701,0.8362145619525156,0
7288,0.03,0.38,0.09,9.5,0.03,0.46,1.5743204615296444,1.684520839022183,2.3056659282495615,0
7289,0.03,0.44000000000000006,0.09,2.5,0.09,0.16000000000000003,1.1978007226272809,0.7193489628360726,1.397207751717607,0
7290,0.03,0.44000000000000006,0.09,3.75,0.09999999999999999,0.36000000000000004,0.5422615020924999,0.25208169393406316,0.5979905660361884,0
7291,0.03,0.36,0.09,2.25,0.06999999999999999,0.1,1.334530689794794,0.8520303272331333,1.5833280899829854,0
7292,0.03,0.38,0.09,7.75,0.03,0.11,0.4254607720031798,0.35086300697945744,0.5514723185983214,0
7293,0.03,0.38,0.09,8.5,0.09999999999999999,0.26,0.3380459693447659,0.408246527562289,0.5300380218974005,0
7294,0.03,0.4,0.09,7.75,0.09,0.46,0.4395152618386851,0.14652442896436513,0.4632958813463176,0
7298,0.03,0.44000000000000006,0.09,4.5,0.060000000000000005,0.26,0.517615112338745,0.18741009835829756,0.5504979105211194,0
7300,0.03,0.42000000000000004,0.09,8.25,0.05,0.36000000000000004,0.1166026954922813,0.4114761485290895,0.42767839483003933,0
7301,0.03,0.4600000000000001,0.09,3.75,0.09999999999999999,0.16000000000000003,1.1771657601332026,0.68456781709947,1.3617460567368331,0
7302,0.03,0.42000000000000004,0.09,6.0,0.08,0.31000000000000005,0.450327743388758,0.17853790017808557,0.4844283830099255,0
7303,0.03,0.38,0.09,2.0,0.060000000000000005,0.36000000000000004,0.5441623219232298,0.2694585514044787,0.607223635513211,0
7304,0.03,0.36000000000000004,0.1,4.0,0.03199999999999999,0.30000000000000004,0.17117210308021727,0.38351243542419844,0.41997818633579587,0
7306,0.03,0.36,0.09,7.25,0.09999999999999999,0.31000000000000005,0.2275897768533704,0.3092082981179516,0.383936033934257,0
7308,0.03,0.4600000000000001,0.09,2.5,0.03,0.46,0.21787080132838146,0.8599994701597203,0.8871678391073872,0
7309,0.03,0.42000000000000004,0.09,8.0,0.01,0.11,0.26973344239421476,0.8004495547347127,0.8446748602988211,0
7313,0.03,0.4600000000000001,0.09,8.75,0.01,0.46,3.641839452112301,5.936523305291294,6.9645749008269195,0
7316,0.03,0.4,0.09,5.75,0.06999999999999999,0.21000000000000002,0.6629607146763156,0.4052708033936487,0.7770208062127194,0
7319,0.03,0.38,0.09,8.0,0.06999999999999999,0.11,1.059292462989217,0.704606159531692,1.2722304674058715,0
7320,0.03,0.44000000000000006,0.09,7.5,0.01,0.36000000000000004,3.070483867935944,4.397867668855746,5.363684481400965,0
7322,0.03,0.36,0.09,4.75,0.05,0.1,1.0539329870862566,0.6815637305001885,1.2551110946852049,0
7323,0.03,0.36000000000000004,0.1,5.0,0.025999999999999995,0.22000000000000003,0.1184370018394802,0.3040062263753819,0.3262623316898918,0
7324,0.03,0.36,0.09,10.0,0.06999999999999999,0.46,0.6659776799478188,0.37862006321201025,0.7660805587243067,0
7326,0.03,0.36,0.09,9.0,0.06999999999999999,0.16000000000000003,0.6273665003887977,0.5404000486830721,0.8280223055128129,0
7327,0.03,0.38,0.09,7.0,0.02,0.41000000000000003,1.1335031476564101,2.223904181261714,2.4961128165971034,0
7329,0.03,0.4600000000000001,0.09,3.75,0.09999999999999999,0.41000000000000003,0.06646781380560779,0.13761598768553998,0.1528271256641426,0
7330,0.03,0.36000000000000004,0.1,3.5,0.03199999999999999,0.24000000000000002,0.15919868645048416,0.05942021815005383,0.16992640787281874,0
7331,0.03,0.44000000000000006,0.09,6.5,0.02,0.11,0.43494873471900686,0.05208332754666649,0.4380560179269295,0
7332,0.03,0.36,0.09,4.5,0.09999999999999999,0.16000000000000003,1.0385207624796733,0.7027628061207187,1.253954120280335,0
7333,0.03,0.44000000000000006,0.09,9.75,0.05,0.21000000000000002,0.035830015827290285,0.1298740091396275,0.13472582634440924,0
7334,0.03,0.44000000000000006,0.09,9.75,0.03,0.21000000000000002,0.49071124899398594,0.3160223012304668,0.5836673922399962,0
7335,0.03,0.44000000000000006,0.09,1.75,0.05,0.41000000000000003,,,,1
7336,0.03,0.4,0.09,9.25,0.060000000000000005,0.26,0.08221761705871082,0.10425500000000017,0.13277364791182342,0
7337,0.03,0.38,0.09,5.5,0.02,0.21000000000000002,0.2346328000729365,0.6351648955520656,0.6771166778419603,0
7338,0.03,0.38,0.09,3.5,0.08,0.41000000000000003,0.2908751662247854,0.07296473326203569,0.2998870030966606,0
7339,0.03,0.4,0.09,1.75,0.01,0.46,,,,1
7342,0.03,0.36,0.09,9.75,0.02,0.11,0.07204660533199234,0.051023742431016095,0.08828440197186896,0
7344,0.03,0.42000000000000004,0.09,8.25,0.02,0.31000000000000005,0.7709966791398468,1.5943343266391776,1.770970870552272,0
7346,0.03,0.44000000000000006,0.09,8.75,0.09,0.11,1.2061123901705175,0.74807459644744,1.4192683677066993,0
7347,0.03,0.4600000000000001,0.09,1.75,0.09999999999999999,0.21000000000000002,0.9623987440973488,0.7108115491933618,1.1964382144961858,0
7348,0.03,0.38000000000000006,0.1,3.0,0.03599999999999999,0.18000000000000002,0.5784812407687128,0.31706246952821987,0.6596735219065889,0
7349,0.03,0.42000000000000004,0.09,7.75,0.09999999999999999,0.46,0.34361698655302486,0.07961517223494508,0.35271973165359155,0
7350,0.03,0.38,0.09,4.0,0.09999999999999999,0.46,0.10393272531550336,0.0627775496628108,0.12142088837253065,0
7351,0.03,0.36,0.09,3.75,0.03,0.36000000000000004,0.32661365890596833,0.7094169467539287,0.7809922448562538,0
7352,0.03,0.4600000000000001,0.09,6.25,0.03,0.41000000000000003,1.3681804860047748,1.3211567516069647,1.9019392746880561,0
7353,0.03,0.42000000000000004,0.09,8.75,0.09999999999999999,0.11,1.238477147564921,0.77807501915518,1.4626094422209495,0
7354,0.03,0.4,0.09,4.75,0.08,0.41000000000000003,0.20263715001262786,0.022752812463517527,0.20391053195026548,0
7355,0.03,0.4,0.09,4.0,0.09,0.46,0.2032876467316747,0.016244229231740407,0.20393563273012275,0
7356,0.03,0.4600000000000001,0.09,1.5,0.09,0.26,,,,1
7359,0.03,0.4,0.09,9.25,0.060000000000000005,0.46,0.8282073954085318,0.5617683378552645,1.0007552923797358,0
7360,0.03,0.4600000000000001,0.09,6.5,0.03,0.16000000000000003,0.09816250520344391,0.027611184780809466,0.10197183411519163,0
7361,0.03,0.36,0.09,7.0,0.08,0.1,1.1887956956787467,0.7828715859577483,1.423419518681796,0
7362,0.03,0.4600000000000001,0.09,6.5,0.09999999999999999,0.46,0.3544002064295585,0.07864788140821072,0.36302203179326964,0
7364,0.03,0.4,0.09,1.5,0.04,0.31000000000000005,,,,1
7365,0.03,0.36,0.09,6.75,0.060000000000000005,0.11,1.0180560848381195,0.6745418341919204,1.2212472632317015,0
7366,0.03,0.38,0.09,2.0,0.09999999999999999,0.16000000000000003,1.264146168518171,0.7960686980772033,1.4939179721248101,0
7367,0.03,0.4600000000000001,0.09,7.25,0.05,0.21000000000000002,0.04544119797707832,0.15636015613000664,0.16282936129148232,0
