tr,ts,ti,n,alpha,Ks,RMSETWT,RMSEVOL,RMSEAMP,RMSE,Converged,TWT,VOL,SAmp,Amp
0.03,0.44999999999999996,0.07,4.0,8.5,0.45,0.017152933994003302,0.005960752009486003,1.1611753555786064,0.018159121925941945,0,"[0.         0.69580303 0.99063482 1.20291371 1.37981279 1.67464458
 1.91051001 2.1227889  2.29968798 2.62989959 2.90114483 3.16059681]","[0.      0.1205  0.22075 0.313   0.4005  0.564   0.721   0.873   1.0225
 1.3125  1.5965  1.8755 ]",-0.04416204742853818,"[102.54308319  80.56262207  73.60953522  68.84200287  65.26758575
  65.60456085  64.10790253  62.81052399  61.38100052  59.72127914
  57.55919266  54.6700592 ]"
0.03,0.39999999999999997,0.07,4.0,8.5,0.45,0.017819656765798574,0.004292524586674906,1.2903341358596132,0.018329373545707434,0,"[0.         0.74297612 1.03780791 1.2500868  1.42698587 1.72181767
 1.9576831  2.16996199 2.35865434 2.68886594 2.97190446 3.21956317]","[0.      0.116   0.21325 0.30325 0.38875 0.54925 0.70325 0.85325 1.00025
 1.28625 1.56625 1.84225]",-0.07955155322553402,"[108.31534576 102.21592712  90.82278442  82.89794922  77.06736755
  72.72976685  69.46035004  66.57358551  65.0485611   62.09128571
  58.39818954  54.95013809]"
0.03,0.39999999999999997,0.07,3.0,8.5,0.5,0.01786940092221323,0.004361167310927746,1.282718273934821,0.01839389218280622,0,"[0.         0.73118284 1.03780791 1.2500868  1.42698587 1.72181767
 1.9576831  2.16996199 2.34686107 2.67707267 2.96011119 3.2077699 ]","[0.     0.1165 0.214  0.304  0.3895 0.55   0.704  0.854  1.001  1.287
 1.567  1.843 ]",-0.07746480705814097,"[108.31534576 105.58023834  95.0900116   88.01977539  82.49344635
  77.82002258  73.9295578   71.21600342  69.62554169  66.65947723
  62.65937805  58.63746643]"
0.03,0.44999999999999996,0.07,3.0,8.5,0.5,0.01743337919741368,0.006121762039706327,1.1596662558550817,0.018476977044733413,0,"[0.         0.68400976 0.99063482 1.20291371 1.37981279 1.67464458
 1.91051001 2.11099563 2.29968798 2.61810631 2.88935156 3.13701027]","[0.      0.12075 0.2215  0.31375 0.40125 0.56525 0.72225 0.87475 1.02425
 1.31425 1.59825 1.87725]",-0.04374855410429235,"[102.20643616  83.80207062  78.0625      73.27597809  71.2232132
  70.07416534  68.69795227  67.45609283  65.96395111  63.60984802
  61.59092712  58.84718323]"
0.03,0.39999999999999997,0.07,3.0,7.500000000000001,0.45,0.018219943418859654,0.0047550447891719924,1.2592237591397857,0.018830209481932987,0,"[0.         0.71938957 1.02601464 1.22650026 1.40339933 1.69823112
 1.92230328 2.13458217 2.31148125 2.62989959 2.90114483 3.14880354]","[0.      0.115   0.21075 0.29925 0.38325 0.54075 0.69175 0.83875 0.98275
 1.26175 1.53575 1.80575]",-0.07102731000430128,"[108.31534576 106.4625473   95.60066986  88.90300751  83.43875122
  79.34780884  75.26407623  73.24848938  71.44210052  68.37224579
  65.3884201   61.14949799]"
0.03,0.39999999999999997,0.07,5.0,6.5,0.351,0.018340436912081294,0.004604790710513612,1.2663233834656258,0.018909672752685767,0,"[0.         0.74297612 1.03780791 1.2500868  1.42698587 1.71002439
 1.94588983 2.15816872 2.33506779 2.65348613 2.93652465 3.18418335]","[0.      0.117   0.21525 0.30575 0.39175 0.55325 0.70775 0.85725 1.00475
 1.29075 1.57075 1.84675]",-0.07297260706958147,"[108.34111023 100.84192657  88.94747925  80.33300781  74.91352844
  70.91796112  67.70079803  65.46574402  63.98358917  61.64047241
  58.59925461  55.25748062]"
0.03,0.39999999999999997,0.07,7.0,7.500000000000001,0.351,0.01811682640670986,0.005500096514529917,1.3050856453058823,0.018933316157504047,0,"[0.         0.73118284 1.03780791 1.23829353 1.4151926  1.69823112
 1.92230328 2.13458217 2.31148125 2.64169286 2.92473138 3.17239008]","[0.      0.113   0.20775 0.2955  0.3785  0.5345  0.684   0.8285  0.9715
 1.2465  1.5185  1.7865 ]",-0.08359346681381173,"[108.34111023  97.12438965  84.12706757  73.6760788   66.67946625
  62.58742523  59.72318649  57.28517151  55.46579361  53.47267532
  51.32188797  48.00257111]"
0.03,0.44999999999999996,0.07,3.0,7.500000000000001,0.45,0.018409515206432085,0.004981844698619257,1.1465328628429838,0.01907168127714531,0,"[0.         0.68400976 0.96704828 1.17932717 1.35622624 1.65105804
 1.8751302  2.07561582 2.26430816 2.57093323 2.84217848 3.07804391]","[0.      0.119   0.21825 0.309   0.39525 0.55625 0.71025 0.85975 1.00625
 1.29025 1.56725 1.84025]",-0.040150004418977585,"[102.20643616  84.83094025  78.94615936  74.68768311  72.58827209
  71.93782043  69.89084625  68.72319031  67.59329987  65.64581299
  63.48776245  61.00735855]"
0.03,0.44999999999999996,0.07,5.0,6.5,0.351,0.017879647780148764,0.006743576557242911,1.1314030029480584,0.019109098082473037,0,"[0.         0.69580303 0.99063482 1.20291371 1.37981279 1.67464458
 1.89871674 2.11099563 2.28789471 2.60631304 2.87755829 3.125217  ]","[0.      0.122   0.22325 0.31625 0.40425 0.56925 0.72725 0.88075 1.03075
 1.32175 1.60575 1.88575]",-0.036004422807767986,"[102.54308319  78.01363373  71.07883453  65.44343567  62.062603
  63.01761246  61.44287109  60.92399216  59.57613373  58.38752747
  56.93617249  54.6310997 ]"
0.03,0.44999999999999996,0.1,3.0,7.500000000000001,0.45,0.018652433523294716,0.004705012495645283,1.2845782507235324,0.019236694594579048,0,"[0.         0.75476939 1.07318772 1.28546661 1.47415896 1.78078402
 2.02844273 2.24072162 2.44120724 2.77141885 3.06625064 3.32570261]","[0.      0.11575 0.2125  0.3015  0.386   0.5445  0.696   0.8435  0.9875
 1.2675  1.5415  1.8115 ]",-0.07797444069824785,"[106.40458679 104.31668091  92.81798553  87.52024078  81.38275909
  76.68667603  72.7673111   69.96862793  67.38404083  65.08894348
  61.67518616  57.84270859]"
0.03,0.39999999999999997,0.07,2.0,7.500000000000001,0.578,0.018710406077442364,0.00467641848440762,1.2693290960809325,0.01928595824490195,0,"[0.         0.73118284 1.03780791 1.2500868  1.42698587 1.69823112
 1.94588983 2.14637545 2.32327452 2.64169286 2.91293811 3.14880354]","[0.      0.11725 0.214   0.30325 0.3875  0.546   0.698   0.8455  0.99
 1.271   1.546   1.816  ]",-0.07379617232617555,"[108.31534576 108.80773163  99.1224823   92.76988983  87.56806183
  79.8583374   78.05971527  75.25050354  73.7056427   69.94010162
  66.38204956  63.0431366 ]"
0.03,0.44999999999999996,0.07,2.0,7.500000000000001,0.578,0.018614033989066577,0.005489188528398777,1.171743350254197,0.019406531169851828,0,"[0.         0.69580303 0.99063482 1.20291371 1.37981279 1.66285131
 1.89871674 2.09920236 2.27610143 2.5827265  2.85397175 3.08983718]","[0.      0.12175 0.22175 0.31325 0.39975 0.56125 0.71625 0.86675 1.01375
 1.29775 1.57575 1.84975]",-0.04705767796965001,"[102.20643616  87.56282043  82.35271454  77.94742584  75.85836029
  74.83383179  72.39206696  70.51307678  69.00106049  66.56163788
  64.54191589  61.51982498]"
