tr,ts,ti,n,alpha,Ks,RMSETWT,RMSEVOL,RMSEAMP,RMSE,Converged,TWT,VOL,SAmp,Amp
0.03,0.44999999999999996,0.07,5.0,8.5,0.45,0.017033067898062658,0.004047361853421346,0.9254850701041775,0.01750732817972357,0,"[0.         0.71938957 1.02601464 1.23829353 1.42698587 1.72181767
 1.96947637 2.18175526 2.38224088 2.71245249 2.99549101 3.25494298]","[0.      0.12575 0.23075 0.3275  0.41925 0.59125 0.75625 0.91625 1.07375
 1.37975 1.67975 1.97375]",-0.04716795062405569,"[102.54308319  76.53810883  70.19989014  63.58875275  61.03408051
  61.1924057   59.92114639  58.48000717  57.55279922  56.09887314
  53.19891739  50.24026489]"
0.03,0.39999999999999997,0.07,5.0,8.5,0.45,0.017031322505155204,0.004307011425048111,0.8641321810798562,0.017567478296275224,0,"[0.         0.76656266 1.07318772 1.28546661 1.47415896 1.76899075
 2.01664946 2.24072162 2.42941397 2.77141885 3.06625064 3.32570261]","[0.      0.12075 0.22275 0.317   0.4065  0.575   0.737   0.895   1.05
 1.35    1.646   1.938  ]",-0.08600432937645093,"[108.34111023  99.02167511  87.52703094  77.17358398  72.57874298
  67.5750351   64.43662262  62.28980255  60.48060608  57.63608551
  53.69377899  49.9548378 ]"
0.03,0.39999999999999997,0.07,3.0,8.5,0.55,0.017107732665137397,0.005453894971313653,0.8732218773956559,0.017956043197206045,0,"[0.         0.76656266 1.08498099 1.30905316 1.4977455  1.7925773
 2.040236   2.26430816 2.45300051 2.79500539 3.08983718 3.34928916]","[0.     0.125  0.23   0.327  0.4195 0.594  0.7615 0.925  1.085  1.397
 1.702  2.004 ]",-0.08025055160854976,"[108.31534576 103.86636353  93.53865814  85.66976166  81.27600861
  76.17514801  72.53733826  70.510849    68.59181213  64.55402374
  60.88983154  56.64409256]"
0.03,0.39999999999999997,0.07,4.0,7.500000000000001,0.45,0.01749908197101766,0.004560319445832133,0.8791098878873125,0.018083539014154004,0,"[0.         0.76656266 1.08498099 1.29725989 1.48595223 1.78078402
 2.02844273 2.24072162 2.42941397 2.77141885 3.05445737 3.31390934]","[0.      0.12425 0.2285  0.325   0.41675 0.58875 0.75475 0.91625 1.07475
 1.38275 1.68575 1.98375]",-0.07652344096733123,"[108.31534576 101.12812805  90.068573    80.91083527  77.28037262
  72.7432251   69.82093048  67.56835938  65.63358307  63.0337677
  58.620327    55.09007263]"
0.03,0.39999999999999997,0.07,6.0,8.5,0.45,0.0173003328817329,0.005466108941985652,0.8517631638457707,0.01814331460302731,0,"[0.         0.7901492  1.10856754 1.32084643 1.50953878 1.81616384
 2.06382254 2.28789471 2.48838033 2.8303852  3.13701027 3.40825552]","[0.      0.12375 0.2285  0.3255  0.41775 0.59175 0.75925 0.92275 1.08325
 1.39525 1.70125 2.00325]",-0.09383391728562722,"[108.3396759   96.74826813  84.68737793  72.82351685  68.96606445
  63.59577942  60.16506958  58.1669693   56.49230576  53.09229279
  49.86867905  45.52455902]"
0.03,0.39999999999999997,0.07,4.0,8.5,0.5,0.017034477063576275,0.006296332640441658,0.8651896333871316,0.018160870396228185,0,"[0.         0.77835593 1.09677427 1.30905316 1.4977455  1.80437057
 2.05202927 2.27610143 2.47658705 2.81859193 3.11342372 3.38466897]","[0.      0.1255  0.2315  0.3295  0.42275 0.59825 0.76725 0.93175 1.09325
 1.40725 1.71525 2.02025]",-0.08533496206594575,"[108.31534576 100.24913025  89.63566589  80.53348541  76.24408722
  71.88498688  68.21366119  65.51660156  64.51257324  59.96432877
  56.3585968   52.21513748]"
0.03,0.39999999999999997,0.07,3.0,7.500000000000001,0.5,0.01769910293083628,0.00439044669389397,0.8804695345284337,0.018235522112850566,0,"[0.         0.76656266 1.07318772 1.29725989 1.47415896 1.76899075
 2.01664946 2.22892835 2.4176207  2.7478323  3.04266409 3.2903228 ]","[0.      0.12425 0.2285  0.32475 0.41625 0.58825 0.75375 0.91525 1.07325
 1.38025 1.68225 1.97925]",-0.07566278464350149,"[108.31534576 104.77163696  94.66609192  86.71337128  82.81056976
  77.76633453  74.53596497  71.71891022  70.71381378  66.7746048
  63.01964569  58.78883743]"
0.03,0.39999999999999997,0.07,7.0,6.5,0.351,0.01785085098760639,0.00407799064455929,0.8736330550610281,0.018310731516759268,0,"[0.         0.77835593 1.08498099 1.29725989 1.47415896 1.76899075
 2.01664946 2.22892835 2.4176207  2.7478323  3.04266409 3.30211607]","[0.      0.1225  0.226   0.32175 0.413   0.5845  0.7495  0.9085  1.0655
 1.3705  1.6705  1.9645 ]",-0.07999027614636926,"[108.34111023  95.07331848  82.88938141  70.79333496  67.12354279
  62.55207443  59.97984314  57.71721268  56.14858246  54.23179245
  51.72883224  47.68886566]"
0.03,0.44999999999999996,0.07,3.0,8.5,0.55,0.01670371915256095,0.007524098989697436,0.9248237283893492,0.018320106417114436,0,"[0.         0.71938957 1.03780791 1.2500868  1.45057242 1.74540421
 1.99306291 2.2053418  2.39403415 2.73603903 3.01907755 3.27852953]","[0.      0.12975 0.238   0.33775 0.4325  0.61    0.7805  0.9465  1.109
 1.425   1.734   2.038  ]",-0.04758657992954199,"[102.20643616  82.39459229  77.49682617  71.5660553   70.53003693
  69.39326477  68.034729    66.70468903  65.22715759  63.11965561
  59.73358154  56.67336273]"
0.03,0.44999999999999996,0.07,4.0,8.5,0.5,0.016310998130902775,0.008673532583178246,0.9220279589942196,0.01847373344772974,0,"[0.         0.73118284 1.03780791 1.26188007 1.45057242 1.75719748
 2.00485619 2.22892835 2.4176207  2.75962557 3.04266409 3.31390934]","[0.      0.13025 0.23925 0.33975 0.43525 0.61425 0.78625 0.95375 1.11725
 1.43625 1.74825 2.05625]",-0.049356301956658945,"[102.54308319  78.86683655  73.45146942  67.03255463  65.53512573
  65.15354919  63.34768677  61.837883    60.93574524  59.04008102
  55.54932022  52.6784668 ]"
