tr,ts,ti,n,alpha,Ks,RMSETWT,RMSEVOL,RMSEAMP,RMSE,Converged,TWT,VOL,SAmp,Amp
0.03,0.35,0.1,8.0,8.5,0.351,0.01148903639757208,0.005365418445105248,0.8112758006280437,0.012680129038610438,0,"[0.         0.84911556 1.22650026 1.48595223 1.71002439 2.06382254
 2.37044761 2.65348613 2.88935156 3.33749589 3.71488058 4.06867873]","[0.      0.09975 0.18375 0.26125 0.3355  0.4755  0.6105  0.742   0.871
 1.123   1.37    1.614  ]",-0.17589095381466324,"[178.55302429 255.66668701 238.71031189 229.05221558 211.20805359
 187.45036316 170.09344482 154.66297913 138.72431946 119.158638
 101.14157104  94.14686584]"
0.03,0.3,0.1,10.0,8.5,0.351,0.012024507008727727,0.004696573528605982,0.8672093418601348,0.01290916618967099,0,"[0.         0.8727021  1.23829353 1.52133205 1.73361094 2.11099563
 2.42941397 2.68886594 2.93652465 3.3728757  3.76205367 4.12764509]","[0.      0.09625 0.17875 0.256   0.33025 0.47075 0.60675 0.73825 0.86925
 1.12425 1.37625 1.62525]",-0.1237608933863544,"[145.99542236 237.3299408  237.18650818 227.73152161 229.65864563
 215.94396973 207.3742218  194.43261719 183.80677795 155.67427063
 139.78614807 120.00030518]"
0.03,0.35,0.1,7.0,8.5,0.351,0.01179295184479464,0.005285935394058707,0.8022237411900428,0.012923421613636531,0,"[0.         0.83732229 1.19112044 1.45057242 1.67464458 2.02844273
 2.32327452 2.60631304 2.84217848 3.27852953 3.65591422 3.9979191 ]","[0.      0.09875 0.1815  0.258   0.331   0.4685  0.601   0.7305  0.8575
 1.1055  1.3495  1.5895 ]",-0.18432747321088014,"[179.7565155  255.10272217 235.72698975 227.18612671 205.52871704
 183.58383179 164.21014404 146.61885071 131.62110901 111.4708786
  97.67835236  88.48620605]"
0.03,0.3,0.1,8.0,8.5,0.351,0.01193139408182628,0.005457584823177659,0.8830268248146765,0.013120342862822537,0,"[0.         0.86090883 1.22650026 1.4977455  1.72181767 2.08740909
 2.39403415 2.6652794  2.90114483 3.32570261 3.71488058 4.06867873]","[0.      0.09425 0.17475 0.24975 0.3215  0.457   0.5885  0.7155  0.842
 1.089   1.332   1.572  ]",-0.10901899927272155,"[143.95812988 230.52619934 231.74058533 222.31434631 223.94508362
 211.33950806 203.83580017 193.03735352 184.56399536 158.65849304
 143.35728455 127.48042297]"
0.03,0.35,0.1,9.0,8.5,0.351,0.011820021949700518,0.005873452689683259,0.8288772425113373,0.013198877429135765,0,"[0.         0.86090883 1.22650026 1.4977455  1.73361094 2.08740909
 2.39403415 2.68886594 2.92473138 3.42004879 3.7502604  4.11585182]","[0.      0.1005  0.1855  0.264   0.33925 0.48075 0.61725 0.75075 0.87925
 1.13425 1.38525 1.63325]",-0.15948640997943359,"[177.91235352 254.58152771 237.73524475 229.90403748 213.91163635
 190.3140564  174.62358093 160.63246155 144.23403931 139.62773132
 106.31417847 100.52758026]"
0.03,0.3,0.1,11.0,8.5,0.351,0.012466258761548643,0.0050534259761309324,0.8768469836130895,0.013451569484863956,0,"[0.         0.84911556 1.20291371 1.46236569 1.68643785 2.05202927
 2.34686107 2.60631304 2.84217848 3.25494298 3.63232768 3.97433256]","[0.      0.09675 0.18    0.2575  0.33225 0.47375 0.61025 0.74375 0.87475
 1.13075 1.38375 1.63475]",-0.11477861127260061,"[ 66.97764587 113.34548187 109.89187622 101.00609589 103.4004364
  96.65188599  90.03566742  87.4319458   82.25177765  72.36683655
  66.21950531  56.03170013]"
0.03,0.3,0.1,9.0,8.5,0.351,0.012669899231129132,0.004535013985439238,0.883997725508754,0.013457068714066078,0,"[0.         0.84911556 1.20291371 1.46236569 1.67464458 2.02844273
 2.33506779 2.5827265  2.8303852  3.23135644 3.60874114 3.95074601]","[0.      0.09525 0.17675 0.2525  0.32525 0.46325 0.59675 0.72725 0.85425
 1.10525 1.35325 1.59825]",-0.10811411982584127,"[ 66.11416626 110.69828033 107.76322174  99.17967224 101.07688141
  94.56239319  89.66184998  87.05973053  81.12438202  71.98046875
  66.24729156  57.38272858]"
0.03,0.3,0.07,11.0,8.5,0.351,0.011996587672945123,0.006193219499817002,0.8820973317013763,0.013500891954518132,0,"[0.         0.83732229 1.19112044 1.45057242 1.67464458 2.02844273
 2.32327452 2.59451977 2.8303852  3.25494298 3.63232768 3.98612583]","[0.      0.0975  0.1825  0.26125 0.337   0.48    0.6185  0.7535  0.8865
 1.1465  1.4015  1.6535 ]",-0.10988528685431728,"[167.26741028 260.57421875 251.73925781 236.90753174 239.41978455
 217.93185425 200.94818115 191.72679138 178.11895752 160.94433594
 147.40383911 140.52554321]"
0.03,0.35,0.1,11.0,6.5,0.273,0.012619778843459339,0.005341845968980233,0.8432791530058563,0.013703800072028717,0,"[0.         0.84911556 1.21470698 1.48595223 1.69823112 2.05202927
 2.35865434 2.61810631 2.85397175 3.27852953 3.63232768 3.97433256]","[0.      0.099   0.1825  0.25975 0.33325 0.47225 0.60575 0.73575 0.86325
 1.11225 1.35625 1.59725]",-0.14606382939854193,"[177.25924683 258.56738281 242.79379272 241.98905945 215.27508545
 204.30491638 188.14910889 167.92227173 161.74673462 137.92059326
 123.74432373 110.46100616]"
0.03,0.3,0.1,6.0,7.500000000000001,0.351,0.012664198138763273,0.0052468560644262615,0.8781865304073883,0.01370807838680031,0,"[0.         0.8727021  1.23829353 1.50953878 1.72181767 2.08740909
 2.39403415 2.65348613 2.87755829 3.2903228  3.66770749 4.00971237]","[0.      0.09675 0.1805  0.2585  0.33325 0.47475 0.61175 0.74525 0.87675
 1.13375 1.38675 1.63675]",-0.11353015366031412,"[145.99542236 237.83584595 231.01704407 224.25878906 221.3137207
 208.51559448 200.27442932 188.00028992 178.00117493 153.81047058
 140.58389282 124.56752777]"
0.03,0.35,0.1,10.0,8.5,0.351,0.012056513281305524,0.006541586921512682,0.8308307467867312,0.013716846283093,0,"[0.         0.8727021  1.23829353 1.50953878 1.74540421 2.11099563
 2.42941397 2.71245249 2.96011119 3.40825552 3.79743348 4.1630249 ]","[0.      0.10125 0.187   0.266   0.34175 0.48475 0.62325 0.75825 0.88825
 1.14125 1.39625 1.64725]",-0.15766574399476646,"[178.55302429 256.62371826 237.57997131 230.61378479 214.76954651
 189.75195312 174.38630676 162.6111908  151.09931946 128.41387939
 109.57771301 103.28411865]"
0.03,0.3,0.07,10.0,8.5,0.351,0.012464264040705083,0.005899725608910474,0.8771437308403011,0.01379001959160493,0,"[0.         0.83732229 1.19112044 1.43877915 1.66285131 2.01664946
 2.31148125 2.57093323 2.81859193 3.23135644 3.60874114 3.95074601]","[0.      0.09925 0.184   0.2625  0.33775 0.47975 0.61675 0.75075 0.88225
 1.13925 1.39225 1.64125]",-0.11450204285683936,"[167.7784729  257.05340576 248.775177   235.26573181 234.85562134
 211.1532135  194.16564941 184.87329102 170.31311035 154.80926514
 141.38272095 136.15057373]"
0.03,0.3,0.1,7.0,8.5,0.351,0.012186357514894615,0.006890930182200659,0.8880314809346809,0.013999722434991075,0,"[0.         0.84911556 1.21470698 1.48595223 1.69823112 2.05202927
 2.35865434 2.61810631 2.85397175 3.27852953 3.65591422 3.9979191 ]","[0.      0.093   0.17225 0.246   0.3165  0.45    0.579   0.705   0.829
 1.071   1.31    1.547  ]",-0.10435465976887742,"[143.95812988 229.65048218 226.17402649 220.94587708 222.54980469
 210.16706848 203.28660583 191.89332581 184.35958862 160.58053589
 145.26899719 128.1164856 ]"
0.03,0.3,0.07,9.0,8.5,0.351,0.01327492778275794,0.005024194312814194,0.8696845251706218,0.014193880235170125,0,"[0.         0.82552902 1.17932717 1.42698587 1.63926476 1.99306291
 2.28789471 2.54734668 2.78321212 3.18418335 3.56156805 3.90357293]","[0.      0.09675 0.18075 0.2585  0.333   0.4735  0.609   0.7415  0.8715
 1.1255  1.3755  1.6235 ]",-0.1214540225409805,"[168.70471191 259.71426392 246.51043701 234.89788818 231.41926575
 208.24438477 190.50402832 181.44999695 165.95500183 154.27067566
 134.88632202 129.52893066]"
