tr,ts,ti,n,alpha,Ks,RMSETWT,RMSEVOL,RMSEAMP,RMSE,Converged,TWT,VOL,SAmp,Amp
0.03,0.39999999999999997,0.1,4.0,8.5,0.8000000000000003,0.007876159838694984,0.003527870016380958,0.4424627490846238,0.008630165737525066,0,"[0.         1.06139445 1.47415896 1.78078402 2.02844273 2.44120724
 2.78321212 3.07804391 3.34928916 3.82102003 4.23378453 4.61116923]","[0.      0.1745  0.32625 0.46875 0.6055  0.866   1.1195  1.368   1.613
 2.093   2.567   3.037  ]",-0.17004886152918974,"[103.87213135 112.14183807  96.29505157  83.94142151  78.03956604
  69.65940094  64.48511505  59.19851685  54.80508041  46.76534653
  40.6095047   35.58055115]"
0.03,0.39999999999999997,0.1,3.0,8.5,0.9000000000000004,0.007942569625948429,0.0034098127693563468,0.48663926692882686,0.008643566126611409,0,"[0.         1.06139445 1.48595223 1.78078402 2.040236   2.44120724
 2.78321212 3.07804391 3.34928916 3.82102003 4.23378453 4.59937596]","[0.      0.17675 0.33025 0.47425 0.6125  0.876   1.132   1.3835  1.6315
 2.1175  2.5975  3.0725 ]",-0.1565750235867078,"[103.87213135 113.92473602  98.94738007  87.43241119  81.73459625
  74.27742004  68.43726349  63.7134819   58.50643539  50.95069504
  44.72989655  39.81106949]"
0.03,0.3,0.07,3.0,7.500000000000001,0.8500000000000003,0.008094497234423535,0.0031024251295990652,0.5301749417332468,0.008668675052328241,0,"[0.         1.06139445 1.48595223 1.7925773  2.040236   2.45300051
 2.79500539 3.08983718 3.36108243 3.8328133  4.24557781 4.61116923]","[0.      0.172   0.32275 0.465   0.60225 0.86525 1.12125 1.37275 1.62075
 2.10875 2.59175 3.06975]",-0.14329664277135973,"[ 89.31206512 125.92789459 113.6780777  106.70072937 101.04264069
  92.95552826  85.6489563   79.03372192  73.03277588  64.46936798
  56.55579376  51.75601959]"
0.03,0.3,0.07,4.0,7.500000000000001,0.7500000000000002,0.007938635654114576,0.003562193201913548,0.45901552801835943,0.00870121580335405,0,"[0.         1.06139445 1.47415896 1.78078402 2.040236   2.44120724
 2.78321212 3.07804391 3.34928916 3.82102003 4.24557781 4.6229625 ]","[0.      0.16975 0.31875 0.45925 0.59475 0.85425 1.10725 1.35575 1.60075
 2.08275 2.55975 3.03275]",-0.16500026395440037,"[ 89.31206512 124.64373779 113.52198029 105.97971344  99.49202728
  89.61914062  81.32115173  74.59518433  67.94697571  58.08382797
  50.19367599  46.6682663 ]"
0.03,0.44999999999999996,0.1,7.0,8.5,0.7000000000000002,0.008013629573465937,0.0035191689877093926,0.5221982285181346,0.008752303085747398,0,"[0.         1.04960118 1.43877915 1.74540421 1.98126964 2.38224088
 2.71245249 3.00728428 3.26673626 3.72667385 4.12764509 4.49323651]","[0.      0.17775 0.3325  0.477   0.6155  0.879   1.134   1.384   1.63
 2.112   2.587   3.053  ]",-0.14572954030196894,"[106.33049774  82.10050964  68.4673233   62.1700058   58.29111481
  52.9732399   50.24876785  47.72134781  44.72244644  38.7725296
  33.7522583   28.78139114]"
0.03,0.39999999999999997,0.1,4.0,7.500000000000001,0.742,0.008087239399742801,0.0034428060507233483,0.4816899312464893,0.008789559409415788,0,"[0.         1.07318772 1.48595223 1.78078402 2.02844273 2.42941397
 2.77141885 3.06625064 3.32570261 3.79743348 4.19840472 4.57578941]","[0.      0.1765  0.33    0.474   0.61225 0.87525 1.13025 1.38075 1.62775
 2.10975 2.58675 3.05975]",-0.15808457096982076,"[103.87213135 112.4434967   96.96057129  84.97610474  79.26842499
  71.46923065  65.09960175  61.64281082  57.02156448  48.54222107
  44.03077698  37.98096466]"
0.03,0.39999999999999997,0.1,5.0,8.5,0.7500000000000002,0.008143820118213805,0.0036979925091995213,0.4099579507875965,0.00894410167182371,0,"[0.         1.07318772 1.48595223 1.7925773  2.040236   2.44120724
 2.78321212 3.07804391 3.34928916 3.8328133  4.24557781 4.6229625 ]","[0.      0.1735  0.32475 0.4665  0.60275 0.86225 1.11475 1.36225 1.60625
 2.08525 2.55825 3.02725]",-0.17996282500978306,"[103.87213135 110.44350433  93.97036743  80.63925934  74.74957275
  66.25524139  60.30495453  55.73749924  50.70650101  43.76570511
  38.06294632  32.16876984]"
0.03,0.3,0.07,4.0,7.500000000000001,0.742,0.0077880869302040185,0.004454276985456804,0.46802663211854073,0.008971893974829663,0,"[0.         1.06139445 1.47415896 1.78078402 2.02844273 2.42941397
 2.77141885 3.06625064 3.33749589 3.80922675 4.22199126 4.59937596]","[0.      0.16825 0.316   0.45525 0.5895  0.8465  1.0965  1.3425  1.585
 2.062   2.534   3.001  ]",-0.16225187720384507,"[ 89.31206512 126.61407471 113.81426239 106.19768524 100.10170746
  89.6018219   81.95453644  75.49382782  69.0326004   58.01763153
  51.03957748  47.61273575]"
0.03,0.39999999999999997,0.1,4.0,7.500000000000001,0.7500000000000002,0.008194809355084673,0.0037597258455524664,0.4754056429754163,0.009016121050645807,0,"[0.         1.07318772 1.48595223 1.7925773  2.040236   2.45300051
 2.78321212 3.07804391 3.34928916 3.80922675 4.22199126 4.59937596]","[0.      0.178   0.333   0.47825 0.61775 0.88375 1.14175 1.39475 1.64325
 2.13125 2.61325 3.09025]",-0.16000127889249802,"[103.87213135 112.3052597   96.56155396  84.69620514  79.50154114
  71.50524139  66.04895782  60.78903198  55.91521454  48.64574814
  43.28040314  37.78722   ]"
0.03,0.39999999999999997,0.1,5.0,8.5,0.742,0.007788086930204016,0.004571139081181504,0.41655424691952087,0.0090304822978576,0,"[0.         1.06139445 1.47415896 1.78078402 2.02844273 2.42941397
 2.77141885 3.06625064 3.33749589 3.80922675 4.22199126 4.59937596]","[0.      0.172   0.32175 0.46225 0.59725 0.85425 1.10275 1.34775 1.58925
 2.06325 2.53125 2.99525]",-0.17795095468954614,"[103.87213135 110.52462006  94.27279663  80.27311707  75.10208893
  66.15686798  60.25782394  56.31433868  51.67438507  44.20563889
  37.83988571  32.75905609]"
0.03,0.39999999999999997,0.1,5.0,7.500000000000001,0.7000000000000002,0.008347526854335059,0.003504440584576916,0.4407819808662608,0.009053303728179826,0,"[0.         1.08498099 1.4977455  1.7925773  2.040236   2.45300051
 2.78321212 3.07804391 3.34928916 3.82102003 4.23378453 4.59937596]","[0.      0.177   0.331   0.4755  0.61425 0.87825 1.13375 1.38525 1.63225
 2.11525 2.59425 3.06925]",-0.17056149583579044,"[103.87213135 110.60036469  93.76808929  81.26007843  75.25424194
  67.5470047   61.76628494  57.52322388  52.74337769  45.17808151
  39.40990829  34.29072189]"
0.03,0.3,0.07,4.0,5.500000000000001,0.6000000000000001,0.008279217445759601,0.003680366930972276,0.5273616647080349,0.009060383118873309,0,"[0.         1.04960118 1.46236569 1.75719748 2.00485619 2.40582742
 2.72424576 3.01907755 3.26673626 3.72667385 4.11585182 4.48144324]","[0.      0.1715  0.32175 0.46325 0.5995  0.86    1.113   1.361   1.6055
 2.0835  2.5565  3.0245 ]",-0.14415469226404934,"[ 88.51898956 127.13137054 114.32828522 107.04955292 100.88005829
  92.11845398  84.49263763  78.49385071  72.84210968  64.33357239
  56.25595093  51.53643417]"
0.03,0.3,0.07,5.0,5.500000000000001,0.578,0.008224696663392901,0.003803609422665539,0.4634746988165263,0.009061626776965403,0,"[0.         1.07318772 1.48595223 1.7925773  2.040236   2.44120724
 2.77141885 3.06625064 3.32570261 3.78564021 4.19840472 4.56399614]","[0.      0.1755  0.3295  0.4745  0.61425 0.88175 1.14075 1.39575 1.64725
 2.14025 2.62625 3.10625]",-0.16364021686095948,"[ 88.51898956 127.67486572 113.7312088  106.03496552  99.39472961
  89.95001221  81.20108795  74.28730011  68.39756775  58.98123169
  51.11824799  46.41741562]"
0.03,0.44999999999999996,0.1,5.0,8.5,0.7500000000000002,0.008323405553420024,0.003694868397550788,0.554961134931997,0.009106653198729093,0,"[0.         1.03780791 1.42698587 1.72181767 1.96947637 2.37044761
 2.70065922 2.98369774 3.24314971 3.70308731 4.10405855 4.4578567 ]","[0.      0.17925 0.33475 0.48    0.619   0.8835  1.1395  1.3905  1.6375
 2.1205  2.5955  3.0675 ]",-0.13573685384574094,"[106.39002991  87.75486755  74.5482254   68.54959106  64.66163635
  59.56805038  56.79780197  53.69552612  50.37852478  43.78580856
  38.36842346  33.90925598]"
